06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','75','75','3694.2','BANKNIFTY','3701.7','0','53600','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','285','285','3793.5','BANKNIFTY','3800.55','0','53700','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','255','255','3892.9','BANKNIFTY','3902.2','0','53800','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:58  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','285','285','3992.4','BANKNIFTY','3998.1','0','53900','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:58  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','0','0','7586.45','BANKNIFTY','9412.7','0','57500','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:58  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','0','0','8085.85','BANKNIFTY','9908.95','0','58000','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:58  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('PE',1,'OPTIDX','60','0','8585.3','BANKNIFTY','8450','100','58500','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:58  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','2145','1845','13.25','BANKNIFTY','13.25','4500','53400','06-26-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:58  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','3720','1440','11.7','BANKNIFTY','11.7','10675','53600','06-26-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:58  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','2820','1740','10.5','BANKNIFTY','10.5','4025','53700','06-26-2024', 'fo13JUN2024bhav.csv', getDate())
