SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
512443,GANONPRO    ,XT,Q,6.23,6.30,5.84,6.27,6.28,6.11,33,23542,147011.00,,INE162L01017,19-Jun-24,,
512453,SHRI JAGDAMB,X ,Q,656.00,675.00,656.00,670.25,665.05,660.25,196,2100,1400782.00,,INE564J01026,19-Jun-24,,
512455,LLOYDS MET E,A ,Q,754.85,754.85,699.00,718.30,717.35,747.10,2375,43190,31254377.00,,INE281B01032,19-Jun-24,,
512463,LLOYDSENT   ,B ,Q,34.49,34.69,33.10,33.29,33.53,34.07,1201,432634,14588623.00,,INE080I01025,19-Jun-24,,
512477,BETEX INDIA ,X ,Q,231.05,245.00,231.00,235.95,242.00,250.00,29,524,124020.00,,INE765L01017,19-Jun-24,,
512479,VIRYA       ,XT,Q,528.00,583.50,528.00,583.50,583.50,555.75,2,17,9031.00,,INE661K01010,19-Jun-24,,
512489,OASIS SECUR.,XT,Q,219.00,219.00,204.15,204.15,204.15,214.85,17,761,155856.00,,INE876A01015,19-Jun-24,,
512493,GARNET INTL ,X ,Q,51.48,51.78,49.12,49.95,50.20,50.63,110,112959,5752729.00,,INE590B01010,19-Jun-24,,
512499,SHALIMAR PRO,X ,Q,0.63,0.63,0.63,0.63,0.63,0.62,845,2062114,1299131.00,,INE435E01020,19-Jun-24,,
512519,DONEAR IND. ,B ,Q,132.95,132.95,127.00,129.70,129.45,131.55,524,25836,3361231.00,,INE668D01028,19-Jun-24,,
512527,SUPER SAL IN,X ,Q,1670.00,1670.00,1588.05,1599.15,1600.00,1648.90,71,2256,3621107.00,,INE091C01017,19-Jun-24,,
512529,SEQUENT     ,A ,Q,123.95,123.95,120.00,121.20,121.80,122.75,1270,80746,9798002.00,,INE807F01027,19-Jun-24,,
512531,STC INDIA   ,B ,Q,156.00,156.00,148.00,148.85,149.00,154.95,696,25805,3906494.00,,INE655A01013,19-Jun-24,,
512553,ZENITH EXP. ,T ,Q,388.15,388.15,388.15,388.15,388.15,369.70,2,15,5822.00,,INE058B01018,19-Jun-24,,
512559,KOHINORFOODS,B ,Q,45.35,45.35,43.10,44.86,44.90,44.46,330,16849,745613.00,,INE080B01012,19-Jun-24,,
512565,NEELKANTH   ,X ,Q,29.10,31.90,29.10,31.90,31.90,30.40,4,10,307.00,,INE581D01015,19-Jun-24,,
512573,AVANTI FEEDS,A ,Q,640.55,672.00,624.40,639.45,639.70,637.55,9329,90880,59422044.00,,INE871C01038,19-Jun-24,,
512587,ZODIAC JRD  ,X ,Q,65.61,68.98,64.00,67.14,67.90,66.95,107,12206,806800.00,,INE077B01018,19-Jun-24,,
